exercise_type_id,step_id,step_text,step_next_step_id,format,score,is_first_step,possible_answer_id,possible_answer_next_step_id,answer_text,answer_interpretation
1485,13671,<p>Enter question</p>,,multi-choice,8,true,15719,,Enter correct answer,correct
1485,13671,<p>Enter question</p>,,multi-choice,8,true,15720,13672,Enter incorrect answer,incorrect
1485,13672,Enter hint or feedback,13671,,,false,,,,
1486,13673,<p>Would you like to try again or would you like help?</p>,,multi-choice,7,false,15721,13676,<p>I want to try again.</p>,neutral
1486,13673,<p>Would you like to try again or would you like help?</p>,,multi-choice,7,false,15722,13674,<p>I would like help. </p>,neutral
1486,13674,"<p>You have 3434 liters of water that you want to divide over bottles with a capacity of a <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""\frac{1}{2}""><span class=""ML__strut"" style=""height:1.33em""></span><span class=""ML__strut--bottom"" style=""height:2.01em;vertical-align:-0.68em""></span><span class=""ML__base""><span class=""mfrac""><span class=""nulldelimiter""></span><span class=""vlist-t vlist-t2""><span class=""vlist-r""><span class=""vlist"" style=""height:1.33em""><span class=""ML__center"" style=""top:-2.31em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">2</span></span></span><span style=""top:-3.23em""><span class=""pstrut"" style=""height:3em""></span><span class=""ML__frac-line""></span></span><span class=""ML__center"" style=""top:-3.67em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">1</span></span></span></span><span class=""vlist-s"">​</span></span><span class=""vlist-r""><span class=""vlist"" style=""height:0.69em""></span></span></span><span class=""nulldelimiter""></span></span></span></span></span>﻿</span>﻿</span>﻿</span>﻿</span>﻿</span> liter. How many bottles can you fill?</p>",,free-text,3,false,15723,13677,Other Answers,incorrect
1486,13674,"<p>You have 3434 liters of water that you want to divide over bottles with a capacity of a <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""\frac{1}{2}""><span class=""ML__strut"" style=""height:1.33em""></span><span class=""ML__strut--bottom"" style=""height:2.01em;vertical-align:-0.68em""></span><span class=""ML__base""><span class=""mfrac""><span class=""nulldelimiter""></span><span class=""vlist-t vlist-t2""><span class=""vlist-r""><span class=""vlist"" style=""height:1.33em""><span class=""ML__center"" style=""top:-2.31em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">2</span></span></span><span style=""top:-3.23em""><span class=""pstrut"" style=""height:3em""></span><span class=""ML__frac-line""></span></span><span class=""ML__center"" style=""top:-3.67em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">1</span></span></span></span><span class=""vlist-s"">​</span></span><span class=""vlist-r""><span class=""vlist"" style=""height:0.69em""></span></span></span><span class=""nulldelimiter""></span></span></span></span></span>﻿</span>﻿</span>﻿</span>﻿</span>﻿</span> liter. How many bottles can you fill?</p>",,free-text,3,false,15724,13678,<p>6868</p>,correct
1486,13676,<p>What is the result?</p>,,free-text,5,true,15725,13673,Other Answers,incorrect
1486,13675,"<p>You can fill with $1$ liter water $2$ bottles of a <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""\frac{1}{2}""><span class=""ML__strut"" style=""height:1.33em""></span><span class=""ML__strut--bottom"" style=""height:2.01em;vertical-align:-0.68em""></span><span class=""ML__base""><span class=""mfrac""><span class=""nulldelimiter""></span><span class=""vlist-t vlist-t2""><span class=""vlist-r""><span class=""vlist"" style=""height:1.33em""><span class=""ML__center"" style=""top:-2.31em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">2</span></span></span><span style=""top:-3.23em""><span class=""pstrut"" style=""height:3em""></span><span class=""ML__frac-line""></span></span><span class=""ML__center"" style=""top:-3.67em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">1</span></span></span></span><span class=""vlist-s"">​</span></span><span class=""vlist-r""><span class=""vlist"" style=""height:0.69em""></span></span></span><span class=""nulldelimiter""></span></span></span></span></span>﻿</span>﻿</span>﻿</span> liter. With <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""3434""><span class=""ML__strut"" style=""height:0.65em""></span><span class=""ML__base""><span class=""ML__cmr"">3434</span></span></span></span>﻿</span>﻿</span>﻿</span> liter water, you can then fill <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""2\:\times\:3434""><span class=""ML__strut"" style=""height:0.65em""></span><span class=""ML__strut--bottom"" style=""height:0.73em;vertical-align:-0.08em""></span><span class=""ML__base""><span class=""ML__cmr"">2</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.23em"">×</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.23em"">3</span><span class=""ML__cmr"">434</span></span></span></span>﻿</span>﻿</span>﻿</span> bottles of a <span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""\frac{1}{2}""><span class=""ML__strut"" style=""height:1.33em""></span><span class=""ML__strut--bottom"" style=""height:2.01em;vertical-align:-0.68em""></span><span class=""ML__base""><span class=""mfrac""><span class=""nulldelimiter""></span><span class=""vlist-t vlist-t2""><span class=""vlist-r""><span class=""vlist"" style=""height:1.33em""><span class=""ML__center"" style=""top:-2.31em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">2</span></span></span><span style=""top:-3.23em""><span class=""pstrut"" style=""height:3em""></span><span class=""ML__frac-line""></span></span><span class=""ML__center"" style=""top:-3.67em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">1</span></span></span></span><span class=""vlist-s"">​</span></span><span class=""vlist-r""><span class=""vlist"" style=""height:0.69em""></span></span></span><span class=""nulldelimiter""></span></span></span></span></span>﻿</span>﻿</span>﻿</span> liter.</p><p><br></p><p><span class=""equationBlot"" contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false"">﻿<span contenteditable=""false""><span class=""ML__mathlive"" data-latex=""3434\::\:\frac{1}{2}\:=\:3434\:\times\:2\:=\:\cdot\cdot\cdot""><span class=""ML__strut"" style=""height:1.33em""></span><span class=""ML__strut--bottom"" style=""height:2.01em;vertical-align:-0.68em""></span><span class=""ML__base""><span class=""ML__cmr"">3434</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.28em"">:</span><span class=""mediumspace""></span><span class=""mfrac"" style=""margin-left:0.28em""><span class=""nulldelimiter""></span><span class=""vlist-t vlist-t2""><span class=""vlist-r""><span class=""vlist"" style=""height:1.33em""><span class=""ML__center"" style=""top:-2.31em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">2</span></span></span><span style=""top:-3.23em""><span class=""pstrut"" style=""height:3em""></span><span class=""ML__frac-line""></span></span><span class=""ML__center"" style=""top:-3.67em""><span class=""pstrut"" style=""height:3em""></span><span><span class=""ML__cmr"">1</span></span></span></span><span class=""vlist-s"">​</span></span><span class=""vlist-r""><span class=""vlist"" style=""height:0.69em""></span></span></span><span class=""nulldelimiter""></span></span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.28em"">=</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.28em"">3</span><span class=""ML__cmr"">434</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.23em"">×</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.23em"">2</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.28em"">=</span><span class=""mediumspace""></span><span class=""ML__cmr"" style=""margin-left:0.28em"">⋅</span><span class=""ML__cmr"" style=""margin-left:0.23em"">⋅</span><span class=""ML__cmr"" style=""margin-left:0.23em"">⋅</span></span></span></span>﻿</span>﻿</span>﻿</span></p><p><br></p><p><strong style=""color: rgb(0, 102, 204);"">So dividing by a fraction is the same as multiplying with the reciprocal (inverse).</strong></p>",13677,,,false,,,,
1486,13676,<p>What is the result?</p>,,free-text,5,true,15726,13679,<p>1717</p>,incorrect
1486,13676,<p>What is the result?</p>,,free-text,5,true,15727,13678,<p>6868</p>,correct
1486,13678,<p>Well done! You have completed the exercise. </p>,,,,false,,,,
